epoch,acc,loss,val_acc,val_loss
0,0.9406166666666667,0.29660420287450157,0.9678,0.1997086630821228
1,0.9710833333333333,0.18492449419101079,0.9764,0.16702170194387436
2,0.97465,0.1665236988266309,0.9804,0.14916662777662276
3,0.97695,0.15307493498325347,0.9786,0.14385821449756622
4,0.9781333333333333,0.14395438297192256,0.9805,0.1350930016040802
5,0.9791,0.13886141202847163,0.9763,0.1468948422908783
6,0.98045,0.13338683366378148,0.9821,0.12505360190868378
7,0.9807333333333333,0.1317371477206548,0.9806,0.12836187810897828
8,0.9804,0.13039708224137625,0.9791,0.13630618693828583
9,0.9817833333333333,0.12798268564542134,0.9835,0.12117575025558472
10,0.9820833333333333,0.12601499555110932,0.9834,0.12250799856185914
11,0.9822333333333333,0.12467987505197525,0.983,0.12140108345746994
12,0.9822333333333333,0.1229750403324763,0.981,0.12446554746627808
13,0.9826666666666667,0.12261816453138988,0.9813,0.12387526481151581
14,0.9832166666666666,0.12040629141728083,0.9812,0.12341753330230713
15,0.98295,0.11912978067795435,0.9826,0.12239214812517166
16,0.9822666666666666,0.11870964981714885,0.9839,0.11877201273441315
17,0.9829833333333333,0.11831700644095738,0.9805,0.12752645101547241
18,0.9825666666666667,0.11827908369302749,0.9839,0.11492701687812805
19,0.9840666666666666,0.11548015658855439,0.9829,0.11656385316848755
20,0.9833666666666666,0.11524995028972626,0.9819,0.11794481678009033
21,0.9835666666666667,0.11473290156523387,0.9829,0.11695979504585266
22,0.9831166666666666,0.11580463452339172,0.9842,0.11073455319404601
23,0.9839166666666667,0.11331956040461857,0.9839,0.1151071208357811
24,0.9830166666666666,0.11346214269002279,0.9813,0.11877611532211303
25,0.9836,0.11172057628432909,0.9841,0.11376288248300552
26,0.9841833333333333,0.11152979414463043,0.9817,0.11742927166223525
27,0.98435,0.11022916795214018,0.9813,0.12286723552942276
28,0.9852333333333333,0.10807223097085952,0.982,0.11429778670072556
29,0.9842833333333333,0.10901976860165596,0.9832,0.1137787092089653
30,0.9842666666666666,0.10883194538354873,0.9818,0.1156305277466774
31,0.9845666666666667,0.10979365326563517,0.982,0.11310084797143936
32,0.9848166666666667,0.10796745373209317,0.9827,0.10945362495779991
33,0.9853666666666666,0.10640397258400917,0.9823,0.11602350059151649
34,0.9844666666666667,0.10764652001857758,0.9815,0.11531418803930282
35,0.9846333333333334,0.10751609612902005,0.9817,0.11192020598649978
36,0.9847833333333333,0.10698383828202883,0.9824,0.1131290208876133
37,0.9847833333333333,0.10558114060163498,0.9857,0.10595791729688644
38,0.9852,0.10570208455522855,0.981,0.117820270383358
39,0.98505,0.10488439450661341,0.9825,0.11228568114638328
40,0.9853,0.10570796924034755,0.9818,0.11211347274780273
41,0.9853666666666666,0.10466708246866863,0.9835,0.11173858085870743
42,0.98535,0.10410360343456268,0.9813,0.11725629397630692
43,0.9855,0.1039013422747453,0.9847,0.10318657935261727
44,0.9854166666666667,0.10423801668683688,0.9838,0.10999536619782448
45,0.9848333333333333,0.10400258251825968,0.9843,0.10921708171367646
46,0.98515,0.10413533776799838,0.9828,0.11788147506713867
47,0.9846,0.10452699247996013,0.9844,0.10486249172091484
48,0.9861166666666666,0.101472872509559,0.9842,0.10597793980836868
49,0.9846166666666667,0.10413013999859493,0.9841,0.10587738506793976
50,0.9850833333333333,0.10269301535288493,0.9844,0.10442863300442695
51,0.9848166666666667,0.1040980900088946,0.9823,0.1167566960811615
52,0.9848333333333333,0.10439719395836194,0.984,0.11008900098800659
53,0.9854333333333334,0.10301203485925993,0.9833,0.10953888233304024
54,0.9854,0.10275405985713006,0.9805,0.12364260256886482
55,0.9852166666666666,0.10251309361457825,0.9842,0.10553475543260574
56,0.9859,0.10186327118476232,0.982,0.11010261344909668
57,0.9855833333333334,0.10215123457709949,0.9853,0.10241935186386109
58,0.98545,0.09982770949602127,0.9824,0.11441970068216324
59,0.9852166666666666,0.10254022853374481,0.9848,0.10308834431171417
60,0.9862333333333333,0.09956194521188735,0.9807,0.11789242298603057
61,0.9850333333333333,0.10209559997320175,0.9784,0.11932343424558639
62,0.9862833333333333,0.09904257170359293,0.9839,0.10560832664966584
63,0.9849833333333333,0.10242487211823463,0.9843,0.10099287388920784
64,0.98585,0.09917412867546081,0.9838,0.10420038536190987
65,0.9856333333333334,0.10046224600076675,0.9828,0.10712985708713532
66,0.9861,0.09865099568963051,0.9839,0.10595818328857422
67,0.9855833333333334,0.09916473095218341,0.9853,0.1013713752746582
68,0.9855166666666667,0.10065149423678715,0.9853,0.10414961441755295
69,0.9856666666666667,0.09935613616108895,0.9835,0.10707259258031845
70,0.98575,0.0992900103588899,0.9817,0.10826882756948471
71,0.9855666666666667,0.09981941741108895,0.9838,0.10645166177749633
72,0.98545,0.09992208192745844,0.9836,0.10829426654577255
73,0.9855166666666667,0.09961067622303962,0.9841,0.10725632010102272
74,0.9860666666666666,0.09838322491248448,0.9854,0.09937669762969017
75,0.9863666666666666,0.09805978042284648,0.9812,0.11067545537948609
76,0.985,0.10144910974701246,0.9841,0.10472837518453598
77,0.9855333333333334,0.09757345380385717,0.9816,0.1119999723315239
78,0.9857,0.09859631433089575,0.9826,0.10759600989818573
79,0.9864166666666667,0.09724620502591133,0.9846,0.10083337540626526
80,0.9863333333333333,0.09740904928048452,0.9846,0.10379484785795212
81,0.9856666666666667,0.09714980852802595,0.9825,0.10905025136470795
