epoch,acc,loss,val_acc,val_loss
69,0.9802833333333333,0.14855608489513397,0.986,0.1326345764875412
70,0.9794166666666667,0.15085919375419618,0.9802,0.15000210559368132
71,0.97845,0.15348055445750555,0.9864,0.1292904658317566
72,0.9790666666666666,0.15050424474875132,0.9846,0.13347977771759034
73,0.97995,0.14902364941040674,0.9848,0.13281886236667634
74,0.9796666666666667,0.14944264039993285,0.9826,0.13419902410507203
75,0.9796,0.14952661332686742,0.9859,0.1365915153026581
76,0.9804166666666667,0.14804328240156173,0.9849,0.1355486332297325
77,0.98055,0.14710339366197586,0.9835,0.13858776761293412
78,0.98025,0.14743710528612136,0.9819,0.14170197174549104
79,0.979,0.15088168356021245,0.9849,0.1319623013496399
80,0.9801166666666666,0.14735931770006816,0.9852,0.13292450737953185
81,0.9797,0.14803075346946717,0.9806,0.14986003831624986
82,0.9796166666666667,0.14820397267738977,0.9857,0.13060682284832
83,0.9804,0.14696782768964767,0.9852,0.13281537501811982
84,0.9797,0.1478097885052363,0.9846,0.13801334888935088
85,0.9797833333333333,0.14666698538064957,0.9837,0.132974515581131
86,0.9801833333333333,0.1475644056558609,0.983,0.1363931142807007
87,0.9798166666666667,0.14752884085178375,0.9848,0.13138943639993667
88,0.9803166666666666,0.14624524157444635,0.9816,0.14092153416872025
89,0.97965,0.14822117774089177,0.9857,0.13279756605625154
90,0.9805833333333334,0.14666309489806492,0.9836,0.1354741069316864
91,0.9801166666666666,0.14683278411229453,0.9849,0.1285802012681961
92,0.9801666666666666,0.14573928769429526,0.9821,0.13696948269605635
93,0.9800833333333333,0.14524560484488805,0.9855,0.1320752652168274
94,0.9798666666666667,0.14631895407040915,0.9862,0.13170029438734054
95,0.9801666666666666,0.14580003286997478,0.9848,0.1347936633348465
96,0.9803166666666666,0.14676528279781342,0.9844,0.13621175943613054
97,0.9801166666666666,0.14661535421212515,0.9851,0.1310454692840576
98,0.98,0.1444763150691986,0.9845,0.13304785566329955
99,0.9802333333333333,0.1459336514075597,0.9844,0.13651590747833253
100,0.9801333333333333,0.1453217618584633,0.9845,0.12958601846694948
101,0.9806,0.14526996582349141,0.9843,0.1315496705532074
102,0.9801666666666666,0.1454810052951177,0.9843,0.12814523522853852
103,0.9797333333333333,0.14701484362681708,0.9863,0.1280100179195404
104,0.9809666666666667,0.14408398173252743,0.986,0.12430358390808105
105,0.98055,0.14343561668395996,0.9847,0.13212827951908113
106,0.9798666666666667,0.14613083138465882,0.9857,0.12712547446489333
107,0.9802666666666666,0.14368096033732097,0.9846,0.12844664583206178
108,0.9794666666666667,0.14689579499165217,0.9843,0.128637509393692
109,0.9796166666666667,0.14573564358552296,0.9842,0.13298502533435821
110,0.9801,0.1441708637992541,0.985,0.13205284600257874
111,0.9812166666666666,0.14153897193670273,0.9836,0.13353853060007095
112,0.9800166666666666,0.14499167114098868,0.9843,0.13241814329624177
113,0.9806166666666667,0.14439123313824337,0.9848,0.13220183258056642
114,0.9801166666666666,0.1442038531978925,0.9852,0.133484829723835
115,0.9800833333333333,0.14475028491417566,0.9787,0.1507094724416733
116,0.9799166666666667,0.14456010104815165,0.9855,0.12822228093147278
117,0.9800333333333333,0.14495815480947494,0.9852,0.13076474392414092
118,0.9804166666666667,0.14395771361589432,0.9881,0.12133015383481979
119,0.9799833333333333,0.14524905341466268,0.9833,0.13542272149324416
120,0.9806833333333334,0.14233065812985102,0.9864,0.12879348273277283
121,0.9801,0.14447159997622172,0.9857,0.12936679718494415
122,0.9810166666666666,0.14301712726354598,0.9853,0.12650400272607804
123,0.9804333333333334,0.14430624306201933,0.9837,0.13141752679347993
124,0.97995,0.1443315608859062,0.9832,0.13417617255449296
125,0.98075,0.14322395680745442,0.9804,0.1442096573829651
126,0.9808166666666667,0.14228135708173115,0.9841,0.13416095809936524
127,0.98005,0.14448120377461116,0.9851,0.1258552953004837
128,0.9800666666666666,0.14416946854988735,0.9855,0.12679956517219543
129,0.9801333333333333,0.1436534408291181,0.9853,0.1292207978963852
130,0.98085,0.14441412274042764,0.9862,0.12728585600852965
131,0.9802833333333333,0.1434582598765691,0.9836,0.13659067620038987
132,0.9800166666666666,0.14399028992255528,0.9838,0.13050281434059144
133,0.98065,0.14317040907144546,0.9842,0.12980706269741057
134,0.9802333333333333,0.143103422276179,0.9843,0.1271097825884819
135,0.9798,0.1422315040508906,0.9844,0.13373542600870134
136,0.9801,0.14300193199714026,0.9847,0.13104636397361755
137,0.9804833333333334,0.14201746232906978,0.9863,0.12813525969982148
138,0.9806166666666667,0.14276045084397,0.9839,0.1331849541783333
