epoch,acc,loss,val_acc,val_loss
0,0.95065,0.3976421933809916,0.9802,0.2148131130695343
1,0.9732833333333333,0.20466239932775498,0.9821,0.16688033434152602
2,0.9759,0.18267264651457468,0.9856,0.14393752999305726
3,0.97755,0.16955685277779897,0.9846,0.1413261694431305
4,0.9782333333333333,0.15960645356575648,0.9857,0.13507933986186982
5,0.9788,0.1548876274863879,0.9891,0.12389664813280106
6,0.9802166666666666,0.1475506703734398,0.9884,0.12176317878961564
7,0.9795833333333334,0.14595138516028722,0.9826,0.13004584865570068
8,0.9805166666666667,0.1418984907944997,0.9866,0.11412946211099624
9,0.9807,0.13904857752323152,0.9863,0.11558398557901382
10,0.98045,0.13665849858522416,0.9889,0.10934980533123016
11,0.9808333333333333,0.1340926728049914,0.9819,0.12594403686523437
12,0.9809166666666667,0.13174139364163082,0.9901,0.10717154570817948
13,0.9821166666666666,0.12809233258565267,0.9869,0.11163538001775741
14,0.9815,0.1299679619749387,0.9888,0.10492269848585128
15,0.98195,0.126661443567276,0.9883,0.10678241600990296
16,0.9819333333333333,0.1272837404648463,0.9889,0.1061319214105606
17,0.9827,0.12516904879411062,0.9865,0.11104753575325012
18,0.9827,0.1247753868818283,0.9892,0.10200934944152833
19,0.9821333333333333,0.12388368661006292,0.9869,0.11383546540737152
20,0.9829,0.1228707603096962,0.9825,0.12502119398117065
21,0.9824666666666667,0.12170913266738256,0.9884,0.10620220408439636
22,0.9828666666666667,0.12199042437473932,0.9858,0.11464889314174652
23,0.9825,0.12163089463710786,0.9895,0.10190072677135467
24,0.9830166666666666,0.12039452500343323,0.9896,0.10223754422664642
25,0.98345,0.1203789320786794,0.9879,0.10469334403276444
26,0.9829,0.12031939496994018,0.9887,0.10090155091285706
27,0.9836,0.11616899671554566,0.9875,0.10267154703140259
28,0.9832,0.11838718468348185,0.9877,0.10355333176851272
29,0.9822666666666666,0.12087552452484766,0.9888,0.10192433714866639
30,0.9835666666666667,0.11802251822551091,0.9892,0.10075571089982986
31,0.9832666666666666,0.11706631562312445,0.9879,0.09941378002166748
32,0.9827833333333333,0.11742475102742513,0.9893,0.10082843465805054
33,0.9829333333333333,0.11695749765634536,0.9892,0.09772208946943282
34,0.9820333333333333,0.11886370660861333,0.9893,0.09901343748569488
35,0.9830666666666666,0.11534559676647187,0.9909,0.09127379873991012
36,0.98345,0.11636728920141856,0.9902,0.0963076509475708
37,0.9834,0.11689049569368362,0.9897,0.09933014554977417
38,0.9843,0.11479092611869177,0.9888,0.09819109494686126
39,0.9837,0.11307500162521998,0.9899,0.09383882328271866
40,0.98285,0.11622169252236685,0.9906,0.09228809041976929
41,0.9833166666666666,0.1139595517595609,0.9906,0.0939095936179161
42,0.9838833333333333,0.11230983852346738,0.9887,0.10021792823076248
43,0.9836833333333334,0.11331326179305712,0.9903,0.09329489485025406
44,0.9838333333333333,0.11330441075960795,0.9915,0.09093378168344497
45,0.98395,0.11341822118560473,0.9908,0.09054782418012619
46,0.9837833333333333,0.11444393268028895,0.9904,0.09377584487199783
47,0.9840666666666666,0.11315478901664416,0.9897,0.0950682632803917
48,0.9835,0.11384488975604375,0.9905,0.0919886036157608
49,0.9836833333333334,0.11212437450289726,0.9903,0.09594659353494644
50,0.9841333333333333,0.11322881895502408,0.9879,0.09775191206932068
51,0.9834,0.11299741590817769,0.9897,0.09191557155251504
52,0.9834333333333334,0.1122676380376021,0.9892,0.09394245901107788
53,0.9837333333333333,0.11337999747991562,0.9912,0.09149810466766357
54,0.9839,0.11298446074326833,0.9901,0.0925257286310196
55,0.9843,0.1119534189939499,0.9873,0.10088423488140107
56,0.98365,0.11372649255593618,0.9914,0.08818096576333045
57,0.98475,0.11008738890488942,0.9885,0.09569368861317634
58,0.9839833333333333,0.11070524962544441,0.9893,0.09320035396814347
59,0.9831833333333333,0.11111990735729535,0.9881,0.09546624292731284
60,0.9835666666666667,0.11281050585707028,0.9903,0.09370856283903121
61,0.9845166666666667,0.10898617557883263,0.9884,0.09317150036096573
62,0.9842166666666666,0.10951272939046224,0.9916,0.08489334571361541
63,0.9844166666666667,0.10948614762425422,0.9904,0.0902007266998291
64,0.9831666666666666,0.11224701075752576,0.987,0.09920437029600143
65,0.9835666666666667,0.11126497927109401,0.9901,0.09137435286641121
66,0.9841666666666666,0.11112748198707899,0.9865,0.10358731836080551
67,0.98395,0.1091066059490045,0.9892,0.09451856225728988
68,0.9840833333333333,0.11113785990079245,0.9898,0.09269415041804313
69,0.9831666666666666,0.11171299705306689,0.9906,0.09026088764071465
70,0.9840666666666666,0.10928696904381116,0.9908,0.08825797272920609
71,0.9838333333333333,0.11033336652716001,0.9917,0.08688704147338867
72,0.9840166666666667,0.1101542783300082,0.9906,0.08935318123102189
73,0.9836666666666667,0.11043852994243304,0.9907,0.08768449472784996
74,0.9836666666666667,0.10980096982717515,0.9907,0.089785529088974
75,0.9841166666666666,0.10921612782677015,0.9895,0.0909990512251854
76,0.9839666666666667,0.11077720227837562,0.9896,0.09125035206079483
77,0.9843833333333334,0.10809168385465939,0.9899,0.08952442383766174
78,0.9837,0.11017291563749314,0.9876,0.09802132917642593
79,0.9839166666666667,0.10969741425315539,0.9917,0.087167171561718
80,0.9841666666666666,0.10876974002718925,0.9912,0.08648285686969757
81,0.9837666666666667,0.10973594838579495,0.9895,0.09270185362100601
82,0.98375,0.10894635416269302,0.9907,0.09184289935827256
