epoch,acc,loss,val_acc,val_loss
0,0.9582333333333334,0.34146355557044344,0.9828,0.16752536675930024
1,0.9784,0.16650740036964418,0.9843,0.13704175428152085
2,0.9825,0.14118292167186738,0.9885,0.11687236502170563
3,0.9835,0.12901959304014843,0.9874,0.110825597012043
4,0.9845666666666667,0.11829846145709355,0.9859,0.11151792701482773
5,0.9854333333333334,0.11159329899946849,0.9888,0.09844937064647674
6,0.9861333333333333,0.10629187598228454,0.9857,0.10292174795866013
7,0.9867,0.10294142273863156,0.9888,0.09004788541197777
8,0.9874,0.09943511214454968,0.9875,0.09283757524490356
9,0.9866833333333334,0.0985682911614577,0.9871,0.0968610317826271
10,0.9872833333333333,0.09611962577501933,0.9889,0.08897624961137772
11,0.9876333333333334,0.09436396580338478,0.9853,0.10012027348876
12,0.9874166666666667,0.09409932219982148,0.9892,0.08720988639593125
13,0.98805,0.09084988687237104,0.9875,0.09040716681480408
14,0.9873166666666666,0.09238269150654475,0.9858,0.09643373169898987
15,0.9873833333333333,0.09152131058971087,0.9888,0.08510256724953652
16,0.9879666666666667,0.08885151617527008,0.9871,0.0919494723558426
17,0.98845,0.08821303677360216,0.9884,0.0857057698905468
18,0.9882,0.08743374467690786,0.9899,0.08170436223745346
19,0.9888666666666667,0.08712271577517192,0.9899,0.07919001311063767
20,0.9883833333333333,0.08662547987699509,0.9883,0.08847352511882782
21,0.9886,0.08520863169630369,0.9902,0.07719612587690354
22,0.9882166666666666,0.0861039186278979,0.9907,0.07473534475564957
23,0.9882833333333333,0.08503063015540441,0.9893,0.08147495319843293
24,0.9886666666666667,0.08401569024125735,0.9898,0.07729955028891564
25,0.9886833333333334,0.08433546332716942,0.9892,0.08285768254399299
26,0.98955,0.0819235874613126,0.9886,0.08525009064078332
27,0.9885833333333334,0.08329635612169901,0.9896,0.08061529613137246
28,0.9890333333333333,0.08309904168446859,0.9882,0.08018384362459183
29,0.9894333333333334,0.081432515925169,0.9909,0.07810188858509064
30,0.9888,0.08216566763718923,0.989,0.08054376705288888
31,0.9882,0.08298839926123619,0.9894,0.08198265931606293
32,0.9895,0.08016195003390313,0.9886,0.0822671348631382
33,0.9897166666666667,0.08028124492565791,0.9884,0.08228812165856361
34,0.98905,0.08054505268136661,0.9882,0.08460463435649872
35,0.98875,0.08152080670595169,0.9902,0.07645084046721458
36,0.9895,0.07983027351101239,0.9915,0.0722931572496891
37,0.9893166666666666,0.078778722012043,0.9897,0.07560078454613686
38,0.9888666666666667,0.08037874019344647,0.9909,0.0745912506043911
39,0.9893666666666666,0.07944509932597478,0.9896,0.07977510361075402
40,0.9891833333333333,0.07977911691268286,0.987,0.08296134029626846
41,0.98955,0.0792801629046599,0.9878,0.08090858576893807
42,0.9892333333333333,0.0782008503595988,0.9884,0.07926088063716888
43,0.9896833333333334,0.07794826901753743,0.9906,0.07517941231131553
44,0.9892666666666666,0.0782329792658488,0.99,0.07366856335401535
45,0.9892666666666666,0.0784500569542249,0.9899,0.07656014560461044
46,0.9896166666666667,0.07789629939397176,0.9891,0.0784591827750206
47,0.9891833333333333,0.07669346166650454,0.9903,0.07546163316965103
48,0.9898333333333333,0.07648443720738093,0.9869,0.08462949689626693
49,0.98965,0.0764398323615392,0.9901,0.07424055626988411
50,0.9895333333333334,0.07659186673561733,0.9907,0.07297968340516091
51,0.9899666666666667,0.0758233390490214,0.9895,0.07362082898616791
52,0.9902166666666666,0.07592206404209137,0.9871,0.08178890746235848
53,0.9893666666666666,0.07737997792164485,0.988,0.08190467011332513
54,0.98975,0.07559128462672234,0.9899,0.07626015732884407
55,0.9894,0.07700468264222145,0.9898,0.07566665268540382
56,0.9901,0.0753699807802836,0.9876,0.08226693145036697
