epoch,acc,loss,val_acc,val_loss
0,0.9573833333333334,0.3616105367819468,0.9827,0.18110882682800292
1,0.9788666666666667,0.18094403051535288,0.9843,0.1528626571893692
2,0.9813333333333333,0.15686955287853876,0.9872,0.12913873250484467
3,0.98315,0.14309325824181238,0.987,0.12897183921337127
4,0.9837666666666667,0.13555321772098541,0.9852,0.1266234607577324
5,0.9838333333333333,0.1295874249537786,0.9899,0.11149933617115021
6,0.9840166666666667,0.12450359520514806,0.9871,0.10982294498682021
7,0.9852333333333333,0.11897697859605154,0.9891,0.10571138397455215
8,0.9857333333333334,0.11640715683698655,0.9871,0.10923812431097031
9,0.9855166666666667,0.11413971211910248,0.9904,0.09659817827939987
10,0.9861333333333333,0.1116312951207161,0.9913,0.09632378485202789
11,0.9857333333333334,0.10934002209107081,0.9885,0.10002272908687591
12,0.9859,0.10859526277979215,0.9885,0.09878662407398224
13,0.9865166666666667,0.10415139222145081,0.9892,0.09349218317270279
14,0.9859833333333333,0.1067179936448733,0.9899,0.09121266739368439
15,0.9864166666666667,0.10324226958552997,0.9892,0.09494055627584458
16,0.98705,0.10114690545399983,0.9909,0.09267198721766472
17,0.9864,0.10235132990678152,0.9896,0.09181642698049546
18,0.98645,0.10189114410082499,0.9873,0.0987268073618412
19,0.9871833333333333,0.10021318313678106,0.9911,0.08630500554442405
20,0.98715,0.09842350028951963,0.9904,0.09000198479890824
21,0.9871333333333333,0.0986154725531737,0.9895,0.09125267887711525
22,0.98735,0.09782908853093783,0.9905,0.09421212280392646
23,0.9871666666666666,0.09720428651571274,0.9888,0.09065087987184524
24,0.9874,0.09746950484116872,0.9873,0.0959734461903572
25,0.9870166666666667,0.09640364799102147,0.9889,0.09161160987019538
26,0.9874833333333334,0.09665914873480796,0.9898,0.08581405329108238
27,0.9878,0.09536141377687454,0.991,0.0860928374171257
28,0.9878,0.09427220424214999,0.9865,0.09567210046052933
29,0.9878333333333333,0.09524650206168493,0.9884,0.08775646540522575
30,0.9870666666666666,0.09547105879187584,0.9873,0.0954038468837738
31,0.9884166666666667,0.09385994301438332,0.9894,0.08754667948484421
32,0.9875333333333334,0.095041400573651,0.9878,0.09387452579736709
33,0.98695,0.0964226317624251,0.9883,0.09265363656282424
34,0.9877666666666667,0.09298257652322452,0.9875,0.09127638486623764
35,0.98745,0.09348561784029007,0.9885,0.08995410988330842
36,0.98785,0.09311963708202044,0.9882,0.08891384807825088
37,0.9886333333333334,0.09170902782678604,0.9886,0.08837582505941391
38,0.98775,0.09288780525326729,0.9902,0.08598090343475341
39,0.9880166666666667,0.09144503869215648,0.9877,0.08904791511297226
40,0.9881,0.091712292299668,0.9895,0.0839433930516243
41,0.9874666666666667,0.09246066132187844,0.9885,0.08706178350448608
42,0.9876333333333334,0.0923049620628357,0.99,0.08387383978962898
43,0.9877,0.0918524464170138,0.9891,0.08611014772057533
44,0.9885,0.09010798064271609,0.9894,0.08630441096425057
45,0.98795,0.09161455003023147,0.9899,0.08378492271900177
46,0.9881333333333333,0.09137758197784424,0.99,0.08343828727602959
47,0.9878333333333333,0.09200527532895406,0.9873,0.08985571621656419
48,0.9878166666666667,0.09064085515936215,0.9907,0.07901217958927155
49,0.9879833333333333,0.0918268382092317,0.9864,0.0953872751891613
50,0.9875166666666667,0.09100112136801083,0.9889,0.09109390969276428
51,0.9879,0.08994120281736057,0.9901,0.08586816576719285
52,0.9884,0.08971966734925906,0.9896,0.08455015168190003
53,0.9875666666666667,0.09138510497411093,0.9853,0.0941936420917511
54,0.9889666666666667,0.08837357014417649,0.9891,0.08366600958704948
55,0.9879333333333333,0.08962969732880592,0.9893,0.08981858105659485
56,0.9875,0.09013689946134885,0.9886,0.087413407766819
57,0.988,0.08895169482628504,0.989,0.08676180498600006
58,0.9888,0.08866718820730846,0.9899,0.08551184912919998
59,0.9879833333333333,0.08812088843186697,0.9894,0.08335505961179733
60,0.9880666666666666,0.09027777664264043,0.9894,0.08780516750216484
61,0.9879833333333333,0.09020377919475238,0.9897,0.08431655575633049
62,0.9878833333333333,0.08985425084233284,0.9906,0.08237147216796875
63,0.9879666666666667,0.08965708372592926,0.9882,0.08839609252810478
64,0.98815,0.08873267943461736,0.9909,0.08407242990732193
65,0.98895,0.08829007261196772,0.9906,0.08281769985556603
66,0.98825,0.08839907591541608,0.9884,0.08750236275792121
67,0.9875333333333334,0.08986166052222253,0.9886,0.08729924221038818
68,0.9882833333333333,0.0880313520650069,0.9905,0.08294367973804474
